as_of,B00670,B00739,B00810,B00838,B05548,B05754,B06390,B07260,B08348,B08441,B08489,B08495,B09419,B11317,B11780,B14078,B14771,B15191,B15503,B16441,B16476,B17301,B17945,B17949,B18527,B18618,B18691,B19390,B19480,B20591,B20796,B21691,B21717,B21793,B21967,B22099,B22102,B22198,B22568,B22672,B23377,B23749,B23827,B23868,B24063,B24413,B24848,B24891,B25164,B25810
2000-02-02,34.8612,78.1548,9.9415,8.90937,33.7228,13.4115,13.9943,11.0174,120.082,27.858,68.3206,21.9593,84.256,11.78,24.8414,11.1126,42.2004,14.0293,68.2862,141.232,18.5683,18.7734,11.6831,13.1098,13.6419,123.877,15.544,15.2946,16.9717,24.2384,33.954,22.4418,24.0391,112.089,14.598,125.403,110.851,12.3638,17.2361,15.2666,15.0998,10.5378,47.3282,30.6921,12.5074,15.7806,14.2961,10.0205,12.1048,12.9377
2000-02-03,34.8612,78.482,9.95167,8.91938,34.1073,13.664,14.285,11.0746,120.368,28.5761,68.5041,22.2032,85.2975,11.81,24.9353,11.2506,42.2004,14.0901,69.566,142.168,19.1083,18.8836,11.957,13.1658,13.9536,125.265,15.5936,15.3666,17.0271,24.4431,34.9358,23.0231,24.5157,113.823,14.8842,126.047,111.272,12.4212,17.2557,15.3238,15.2906,10.5482,47.9179,30.8235,12.6745,15.8758,14.5299,10.0688,12.4347,13.0686
2000-02-04,34.8612,78.482,9.9415,8.85932,34.0949,13.7376,14.4655,11.046,120.395,28.5371,68.514,22.4472,86.2348,11.92,24.9478,11.361,42.2004,14.0398,69.9865,141.7,19.503,18.8207,12.0482,13.1846,13.9334,125.932,15.5699,15.3666,16.9717,24.4841,35.2958,23.1522,24.4998,114.907,14.9758,124.897,110.851,12.4156,17.2557,15.3581,15.3723,10.5482,47.8989,30.828,12.6188,15.7942,14.4831,10.0326,12.5688,13.2649
2000-02-05,34.8612,78.482,9.9415,8.85932,34.0949,13.7376,14.4655,11.046,120.395,28.5371,68.514,22.4472,86.2348,11.92,24.9478,11.361,42.2004,14.0398,69.9865,141.7,19.503,18.8207,12.0482,13.1846,13.9334,125.932,15.5699,15.3666,16.9717,24.4841,35.2958,23.1522,24.4998,114.907,14.9758,124.897,110.851,12.4156,17.2557,15.3581,15.3723,10.5482,47.8989,30.828,12.6188,15.7942,14.4831,10.0326,12.5688,13.2649
2000-02-06,34.8612,78.482,9.9415,8.85932,34.0949,13.7376,14.4655,11.046,120.395,28.5371,68.514,22.4472,86.2348,11.92,24.9478,11.361,42.2004,14.0398,69.9865,141.7,19.503,18.8207,12.0482,13.1846,13.9334,125.932,15.5699,15.3666,16.9717,24.4841,35.2958,23.1522,24.4998,114.907,14.9758,124.897,110.851,12.4156,17.2557,15.3581,15.3723,10.5482,47.8989,30.828,12.6188,15.7942,14.4831,10.0326,12.5688,13.2649
2000-02-07,34.8612,78.0613,9.9415,8.81927,34.0825,13.7902,14.6459,11.0746,120.678,28.2638,68.4081,22.6314,86.9639,11.88,24.9161,11.4577,42.1028,13.9842,70.1876,141.115,19.856,18.8207,12.2004,13.1729,13.9234,126.6,15.5253,15.3426,16.944,24.4022,35.934,22.9908,24.5793,114.473,15.1933,124.621,110.535,12.3636,17.2754,15.4724,15.5359,10.5587,47.937,30.81,12.6745,15.767,14.5766,10.0326,12.744,13.374
2000-02-08,34.8612,78.4353,9.96183,8.77923,34.5042,13.8744,14.8163,11.1603,120.964,28.7088,68.4758,22.7954,87.797,11.66,24.9562,11.5543,42.2004,14.045,71.4674,141.583,20.1676,18.8679,12.3119,13.2017,14.0842,129.118,15.5592,15.3786,16.9578,24.7843,36.3104,23.233,24.8653,116.208,15.3536,124.989,110.429,12.4073,17.295,15.5296,15.6722,10.5587,48.5647,30.8779,12.8415,15.835,14.7987,10.0205,12.8678,13.4831
2000-02-09,34.8612,78.1548,9.96183,8.68914,33.7973,13.7692,14.7963,11.1889,120.993,28.8805,68.4857,22.72,87.5888,11.69,24.9604,11.5267,42.2004,14.0476,70.151,141.232,20.1364,18.8836,12.2713,13.2035,14.1848,126.652,15.546,15.3905,16.9301,24.2384,36.2776,23.3944,24.4522,114.618,15.4567,123.056,110.324,12.3689,17.2754,15.4839,15.5904,10.5692,47.6326,30.8508,12.5965,15.8758,14.5065,10.0084,12.8884,13.4831
2000-02-10,34.8612,77.9211,9.95167,8.65911,33.9213,13.8638,14.9667,11.1746,121.019,28.6932,68.4377,22.864,88.0053,11.59,24.9646,11.5681,42.2004,13.992,70.6081,140.882,20.448,18.8364,12.4133,13.1918,14.0742,127.371,15.5173,15.3786,16.9024,24.3339,37.014,23.1684,24.7064,115.846,15.4796,120.617,110.324,12.3305,17.295,15.5525,15.6722,10.5587,47.7848,30.8554,12.7747,15.835,14.7636,9.96005,13.0534,13.5486
2000-02-11,34.8612,78.0613,9.9415,8.58903,33.2143,13.7061,14.8965,11.1603,120.916,28.6073,68.5633,23.0079,88.6302,11.58,24.9771,11.6371,42.2004,13.9998,69.2186,140.998,20.5622,18.5374,12.3018,13.2108,14.0239,124.597,15.5407,15.3905,16.6808,23.829,36.7031,23.2814,24.2774,113.678,15.3651,119.42,109.745,12.3524,17.2754,15.644,15.5359,10.5587,46.8717,30.86,12.5854,15.6855,14.5182,9.85126,12.8884,13.5704
2000-02-12,34.8612,78.0613,9.9415,8.58903,33.2143,13.7061,14.8965,11.1603,120.916,28.6073,68.5633,23.0079,88.6302,11.58,24.9771,11.6371,42.2004,13.9998,69.2186,140.998,20.5622,18.5374,12.3018,13.2108,14.0239,124.597,15.5407,15.3905,16.6808,23.829,36.7031,23.2814,24.2774,113.678,15.3651,119.42,109.745,12.3524,17.2754,15.644,15.5359,10.5587,46.8717,30.86,12.5854,15.6855,14.5182,9.85126,12.8884,13.5704
2000-02-13,34.8612,78.0613,9.9415,8.58903,33.2143,13.7061,14.8965,11.1603,120.916,28.6073,68.5633,23.0079,88.6302,11.58,24.9771,11.6371,42.2004,13.9998,69.2186,140.998,20.5622,18.5374,12.3018,13.2108,14.0239,124.597,15.5407,15.3905,16.6808,23.829,36.7031,23.2814,24.2774,113.678,15.3651,119.42,109.745,12.3524,17.2754,15.644,15.5359,10.5587,46.8717,30.86,12.5854,15.6855,14.5182,9.85126,12.8884,13.5704
2000-02-14,34.8612,78.4353,9.92117,8.64909,33.2763,13.7902,15.0168,11.146,121.073,28.3809,68.6312,23.132,89.2551,11.47,24.9813,11.7199,42.2004,14.0606,69.2003,141.583,20.2507,18.4115,12.3626,13.2126,13.9033,125.008,15.5903,15.4025,16.5976,23.8972,36.9813,22.9746,24.341,113.967,15.0445,119.006,109.798,12.4098,17.295,15.644,15.7267,10.5692,46.8717,30.9055,12.5854,15.5495,14.5299,9.74247,12.6822,13.614
2000-02-15,34.8612,78.3886,9.95167,8.65911,33.5616,13.8007,15.0469,11.1603,121.228,27.9516,68.6411,23.2761,90.0883,11.19,24.9854,11.8166,42.1028,14.0632,69.1638,141.466,19.9703,18.4587,12.3728,13.2279,13.8932,126.035,15.5771,15.4025,16.5976,24.061,36.7685,22.5872,24.5157,113.751,14.9529,120.341,109.692,12.385,17.3146,15.6554,15.6449,10.6006,47.2331,30.9101,12.6188,15.4952,14.5883,9.76665,12.5378,13.6795
2000-02-16,34.8612,78.2951,9.95167,8.83929,33.2267,13.948,15.2774,11.1746,121.514,28.178,68.6511,23.2408,89.88,11.19,24.9896,11.789,42.1028,14.0077,68.2131,141.466,20.1157,18.4587,12.5452,13.2297,13.8832,125.162,15.5639,15.4025,16.5561,23.8426,37.014,22.7163,24.6428,112.739,14.9644,118.638,108.428,12.3741,17.3146,15.8155,15.7539,10.6006,46.7195,30.9146,12.6411,15.4816,14.5415,9.7183,12.5997,13.7013
2000-02-17,34.8612,78.3418,9.972,8.84931,33.2391,14.211,15.6283,11.1746,121.93,28.459,68.719,23.2454,89.88,11.3,24.9938,11.789,42.1516,14.0103,68.7067,141.466,20.1884,18.5217,12.7886,13.2316,14.0239,126.292,15.5509,15.4145,16.6808,23.9109,37.4885,22.9746,24.897,112.811,15.0102,117.81,109.429,12.3768,17.3342,15.7698,15.9992,10.611,46.7956,30.9509,12.797,15.5495,14.6935,9.79082,12.6512,13.6795
2000-02-18,34.8612,78.6223,9.972,8.71917,32.2345,13.8533,15.4178,11.1889,121.697,28.1858,68.729,23.1902,89.6717,11.16,25.0284,11.7614,42.1516,14.0763,66.787,141.934,19.9391,18.3958,12.4945,13.2505,13.9636,122.387,15.6089,15.4265,16.5561,23.1739,37.1776,22.7809,24.2774,109.993,14.8842,114.818,108.428,12.415,17.3342,15.7583,15.6994,10.6215,45.4069,30.9872,12.4628,15.4272,14.3662,9.75456,12.4656,13.6358
2000-02-19,34.8612,78.6223,9.972,8.71917,32.2345,13.8533,15.4178,11.1889,121.697,28.1858,68.729,23.1902,89.6717,11.16,25.0284,11.7614,42.1516,14.0763,66.787,141.934,19.9391,18.3958,12.4945,13.2505,13.9636,122.387,15.6089,15.4265,16.5561,23.1739,37.1776,22.7809,24.2774,109.993,14.8842,114.818,108.428,12.415,17.3342,15.7583,15.6994,10.6215,45.4069,30.9872,12.4628,15.4272,14.3662,9.75456,12.4656,13.6358
2000-02-20,34.8612,78.6223,9.972,8.71917,32.2345,13.8533,15.4178,11.1889,121.697,28.1858,68.729,23.1902,89.6717,11.16,25.0284,11.7614,42.1516,14.0763,66.787,141.934,19.9391,18.3958,12.4945,13.2505,13.9636,122.387,15.6089,15.4265,16.5561,23.1739,37.1776,22.7809,24.2774,109.993,14.8842,114.818,108.428,12.415,17.3342,15.7583,15.6994,10.6215,45.4069,30.9872,12.4628,15.4272,14.3662,9.75456,12.4656,13.6358
2000-02-21,34.8612,78.6223,9.972,8.71917,32.2345,13.8533,15.4178,11.1889,121.724,28.1858,68.7389,23.1947,89.6717,11.16,25.0284,11.7614,42.1516,14.0763,66.787,141.934,19.9391,18.3958,12.4945,13.2505,13.9636,122.387,15.6089,15.4265,16.5561,23.1739,37.1776,22.7809,24.2774,109.993,14.8842,114.818,108.428,12.415,17.3342,15.7583,15.6994,10.6215,45.4069,30.9872,12.4628,15.4272,14.3662,9.75456,12.4656,13.6358
2000-02-22,34.8612,79.1365,9.96183,8.79925,32.3709,13.8112,15.2574,11.2317,121.88,28.0531,68.8645,23.1592,89.7759,10.84,25.0506,11.7476,42.2004,14.1371,66.8784,142.635,19.4926,18.3486,12.3931,13.2794,13.843,122.593,15.6907,15.4505,16.4868,23.3377,37.2922,22.5549,24.4045,110.137,14.4606,115.371,107.48,12.4862,17.3734,15.7126,15.6722,10.6529,45.5401,31.0374,12.4183,15.4136,14.3311,9.7183,12.1048,13.6358
