Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,"61,745,703.80",0.59,"61,745,703.80","136,310.00",452.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
SNOW,SNOWFLAKE CLASS A,Information Technology,Equity,"59,556,796.56",0.57,"59,556,796.56","400,328.00",148.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"56,533,237.47",0.54,"56,533,237.47","755,893.00",74.79,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADSK,AUTODESK INC,Information Technology,Equity,"53,420,339.67",0.51,"53,420,339.67","280,997.00",190.11,United States,NASDAQ,USD,1,USD,-
FTNT,FORTINET INC,Information Technology,Equity,"52,519,899.36",0.5,"52,519,899.36","832,856.00",63.06,United States,NASDAQ,USD,1,USD,-
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,"49,330,764.40",0.47,"49,330,764.40","687,058.00",71.8,United States,NASDAQ,USD,1,USD,-
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,"48,255,400.23",0.46,"48,255,400.23","257,871.00",187.13,United States,NASDAQ,USD,1,USD,-
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,"42,316,615.42",0.4,"42,316,615.42","1,095,434.00",38.63,United States,NASDAQ,USD,1,USD,-
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,Equity,"39,221,473.73",0.37,"39,221,473.73","662,413.00",59.21,United States,NASDAQ,USD,1,USD,-
ON,ON SEMICONDUCTOR CORP,Information Technology,Equity,"39,187,260.44",0.37,"39,187,260.44","559,978.00",69.98,United States,NASDAQ,USD,1,USD,-
HPQ,HP INC,Information Technology,Equity,"37,689,952.96",0.36,"37,689,952.96","1,268,168.00",29.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
ANSS,ANSYS INC,Information Technology,Equity,"35,337,960.00",0.34,"35,337,960.00","112,184.00",315,United States,NASDAQ,USD,1,USD,-
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"35,051,984.00",0.33,"35,051,984.00","278,080.00",126.05,United States,NASDAQ,USD,1,USD,-
VMW,VMWARE CLASS A INC,Information Technology,Equity,"34,313,770.92",0.33,"34,313,770.92","275,812.00",124.41,United States,New York Stock Exchange Inc.,USD,1,USD,-
GLW,CORNING INC,Information Technology,Equity,"31,098,548.50",0.3,"31,098,548.50","949,574.00",32.75,United States,New York Stock Exchange Inc.,USD,1,USD,-
IT,GARTNER INC,Information Technology,Equity,"29,972,627.58",0.29,"29,972,627.58","99,106.00",302.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
CDW,CDW CORP,Information Technology,Equity,"29,322,243.18",0.28,"29,322,243.18","174,506.00",168.03,United States,NASDAQ,USD,1,USD,-
TEAM,ATLASSIAN CORP CLASS A,Information Technology,Equity,"28,884,003.03",0.28,"28,884,003.03","187,839.00",153.77,United States,NASDAQ,USD,1,USD,-
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"26,537,524.55",0.25,"26,537,524.55","59,155.00",448.61,United States,NASDAQ,USD,1,USD,-
VRSN,VERISIGN INC,Information Technology,Equity,"25,978,980.60",0.25,"25,978,980.60","119,774.00",216.9,United States,NASDAQ,USD,1,USD,-
HUBS,HUBSPOT INC,Information Technology,Equity,"25,616,673.00",0.24,"25,616,673.00","59,700.00",429.09,United States,New York Stock Exchange Inc.,USD,1,USD,-
DDOG,DATADOG INC CLASS A,Information Technology,Equity,"24,056,403.35",0.23,"24,056,403.35","342,635.00",70.21,United States,NASDAQ,USD,1,USD,-
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Equity,"23,655,115.44",0.23,"23,655,115.44","1,658,844.00",14.26,United States,New York Stock Exchange Inc.,USD,1,USD,-
NET,CLOUDFLARE INC CLASS A,Information Technology,Equity,"21,745,508.40",0.21,"21,745,508.40","364,980.00",59.58,United States,New York Stock Exchange Inc.,USD,1,USD,-
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,Equity,"21,269,649.63",0.2,"21,269,649.63","204,693.00",103.91,United States,NASDAQ,USD,1,USD,-
PINS,PINTEREST INC CLASS A,Communication,Equity,"20,903,982.12",0.2,"20,903,982.12","766,556.00",27.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
MDB,MONGODB INC CLASS A,Information Technology,Equity,"20,630,139.00",0.2,"20,630,139.00","85,620.00",240.95,United States,NASDAQ,USD,1,USD,-
TYL,TYLER TECHNOLOGIES INC,Information Technology,Equity,"20,482,889.40",0.2,"20,482,889.40","53,037.00",386.2,United States,New York Stock Exchange Inc.,USD,1,USD,-
EPAM,EPAM SYSTEMS INC,Information Technology,Equity,"19,769,224.50",0.19,"19,769,224.50","70,794.00",279.25,United States,New York Stock Exchange Inc.,USD,1,USD,-
ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,Information Technology,Equity,"19,434,752.55",0.19,"19,434,752.55","317,095.00",61.29,United States,NASDAQ,USD,1,USD,-
PAYC,PAYCOM SOFTWARE INC,Information Technology,Equity,"19,080,400.50",0.18,"19,080,400.50","66,045.00",288.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,"18,839,340.02",0.18,"18,839,340.02","322,481.00",58.42,United States,New York Stock Exchange Inc.,USD,1,USD,-
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"18,565,884.28",0.18,"18,565,884.28","2,374,154.00",7.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
TER,TERADYNE INC,Information Technology,Equity,"18,262,331.08",0.17,"18,262,331.08","202,084.00",90.37,United States,NASDAQ,USD,1,USD,-
SPLK,SPLUNK INC,Information Technology,Equity,"18,080,587.52",0.17,"18,080,587.52","210,044.00",86.08,United States,NASDAQ,USD,1,USD,-
NTAP,NETAPP INC,Information Technology,Equity,"17,794,222.16",0.17,"17,794,222.16","280,489.00",63.44,United States,NASDAQ,USD,1,USD,-
PTC,PTC INC,Information Technology,Equity,"16,956,536.52",0.16,"16,956,536.52","137,478.00",123.34,United States,NASDAQ,USD,1,USD,-
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,"16,333,621.56",0.16,"16,333,621.56","199,873.00",81.72,United States,NASDAQ,USD,1,USD,-
LDOS,LEIDOS HOLDINGS INC,Industrials,Equity,"16,189,487.48",0.15,"16,189,487.48","175,858.00",92.06,United States,New York Stock Exchange Inc.,USD,1,USD,-
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,Equity,"15,916,745.43",0.15,"15,916,745.43","284,787.00",55.89,United States,NASDAQ,USD,1,USD,-
GDDY,GODADDY INC CLASS A,Information Technology,Equity,"15,553,589.48",0.15,"15,553,589.48","201,916.00",77.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
ENTG,ENTEGRIS INC,Information Technology,Equity,"14,059,573.92",0.13,"14,059,573.92","191,443.00",73.44,United States,NASDAQ,USD,1,USD,-
DOX,AMDOCS LTD,Information Technology,Equity,"13,931,380.80",0.13,"13,931,380.80","153,768.00",90.6,United States,NASDAQ,USD,1,USD,-
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,Equity,"13,886,314.44",0.13,"13,886,314.44","175,067.00",79.32,United States,NASDAQ,USD,1,USD,-
OKTA,OKTA INC CLASS A,Information Technology,Equity,"13,669,575.88",0.13,"13,669,575.88","195,196.00",70.03,United States,NASDAQ,USD,1,USD,-
MANH,MANHATTAN ASSOCIATES INC,Information Technology,Equity,"13,492,886.40",0.13,"13,492,886.40","80,010.00",168.64,United States,NASDAQ,USD,1,USD,-
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,"13,438,643.40",0.13,"13,438,643.40","410,215.00",32.76,United States,NASDAQ,USD,1,USD,-
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"13,042,444.00",0.12,"13,042,444.00","304,730.00",42.8,United States,New York Stock Exchange Inc.,USD,1,USD,-
JBL,JABIL INC,Information Technology,Equity,"13,026,874.05",0.12,"13,026,874.05","167,333.00",77.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
MTCH,MATCH GROUP INC,Communication,Equity,"12,586,917.71",0.12,"12,586,917.71","359,729.00",34.99,United States,NASDAQ,USD,1,USD,-
GEN,GEN DIGITAL INC,Information Technology,Equity,"12,531,091.75",0.12,"12,531,091.75","705,977.00",17.75,United States,NASDAQ,USD,1,USD,-
DOCU,DOCUSIGN INC,Information Technology,Equity,"12,513,920.60",0.12,"12,513,920.60","254,866.00",49.1,United States,NASDAQ,USD,1,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"12,419,819.91",0.12,"12,419,819.91","12,419,820.00",1,United States,-,USD,1,USD,-
TWLO,TWILIO INC CLASS A,Information Technology,Equity,"11,860,532.43",0.11,"11,860,532.43","224,759.00",52.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
